38 Province,,,,,,,,,,,,,,
,Productivity (Quintal/Hectare),,,,,,,,,,,,,
,Paddy,,Maize,,Soybean,,Peanut,,Mungbean,,Cassava,,Sweet Potato,
,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015
ACEH,48.39,50.56,42.72,42.76,14.81,14.61,12.31,12.52,10.71,10.51,130.02,130.87,107.38,112.67
SUMATERA UTARA,50.62,51.74,57.82,62.33,11.36,12.35,11.76,11.6,11.17,11.28,328.88,338.54,131.74,136.69
SUMATERA BARAT,50.06,50.25,65.02,68.61,11.61,11.93,13.62,14.59,12.68,12.47,386.18,391.85,296.38,313.87
RIAU,36.35,36.63,23.76,24.85,11.49,14.15,9.5,9.58,10.79,10.38,290.46,289.54,81.94,82.75
JAMBI,45.53,44.31,54.95,60.94,12.86,13.72,12.83,12.97,11.51,11.42,156.75,215.23,267.15,316.18
SUMATERA SELATAN,45.26,48.67,60.11,62.4,17.34,15.09,11.91,11.83,13.62,13.6,201.29,247.48,115.79,113.52
BENGKULU,40.2,44.92,46.51,52.07,10.63,12.72,10.17,12.22,9.82,9.58,175.38,224.77,132.92,131.66
LAMPUNG,51.18,51.49,50.74,51.2,12.13,11.67,13.01,13.19,9.01,8.99,263.87,264.45,97.47,96.33
KEP. BANGKA BELITUNG,23.62,22.85,33.69,36.8,-,10,10.87,9.73,-,0,185.7,246.13,77.92,103.56
KEP. RIAU,36.44,36.46,23.36,23.3,10.59,10.71,10,10,-,0,124.19,129.34,80.18,80.13
DKI JAKARTA,53.86,55.95,-,0,-,0,-,0,-,0,-,0,-,0
JAWA BARAT,58.82,61.22,73.24,75.69,16.3,16.44,14.76,18.45,12.46,12.74,239.57,234.53,183.98,194
JAWA TENGAH,53.57,60.25,56.71,59.18,17.37,18.38,13.08,13.42,11.99,12.04,259.65,236.73,198.16,213.84
DI YOGYAKARTA,57.87,60.65,46.15,45.67,11.98,13.55,10.6,11.75,5.95,5.84,157.69,157.01,128.04,149.14
JAWA TIMUR,59.81,61.13,47.72,50.52,16.54,16.58,13.47,13.73,12,12.07,231.39,215.39,231.71,274.23
BANTEN,52.95,56.61,33.36,33.74,13.26,13.72,13.27,14.45,8.29,7.97,151.33,177.59,135.64,132.3
BALI,60.12,62.14,24.34,26.46,15.28,14.11,10.61,10,11.75,9.21,164.74,107.47,124.25,116.7
NUSA TENGGARA BARAT,48.8,51.71,62.09,67.08,14.1,13.17,12.96,15.38,11.11,11.61,196.86,213.23,175.74,169.86
NUSA TENGGARA TIMUR,33.46,35.61,25.18,25.08,9.71,10.15,10.6,8.68,8.65,8.73,106.14,105.24,73.42,69.81
KALIMANTAN BARAT,30.35,29.4,36.79,32.57,15.6,16.01,11.91,11.24,7.35,7.54,160.35,163.49,85.09,88.84
KALIMANTAN TENGAH,34.57,35.07,31.37,32.66,11.98,12,11.26,11.25,8.43,8.46,120.13,150.81,71.24,91.9
KALIMANTAN SELATAN,42.05,41.87,56.56,58.61,13.06,13.65,12.15,12.3,10.76,10.33,191.55,206.3,129.68,142.51
KALIMANTAN TIMUR,42.55,41.2,26.34,36.32,14.69,16.04,12.78,12.78,10.73,10.86,203.95,226.37,106.85,111.79
KALIMANTAN UTARA,36.05,27.27,21.26,21.77,10,9.24,10.33,11.03,9.75,10.09,209.11,225.19,89.88,97.3
SULAWESI UTARA,48.91,49.05,38.31,37.15,13.35,13.06,13.35,11.55,12.8,11.47,126.33,122.77,99.95,96.74
SULAWESI TENGAH,46.54,48.57,40.87,40.34,16.18,18.71,15.6,16.88,8.59,8.22,207.87,211.99,111.64,108.61
SULAWESI SELATAN,52.17,52.41,51.46,51.79,15.04,17.67,14.09,9.91,13.6,12.89,216.68,211.31,154.02,151.96
SULAWESI TENGGARA,46.84,47.07,25.23,28.46,11.2,16.23,7.68,7.14,8.08,8.05,207.94,208.5,92.69,101.94
GORONTALO,50.2,55.51,48.37,49.83,15.04,13.49,11.76,9.83,13.37,13.14,132.02,134.67,104.62,103.17
SULAWESI BARAT,47.65,49.41,45.46,48.58,11.72,10.27,13.35,10.06,13.61,13.64,210.58,225.28,110.73,115.88
MALUKU,47.52,55.72,27.85,42.78,12.65,9.23,10.64,8.69,10.57,10.3,195.41,278.11,135.83,177.14
MALUKU UTARA,34.01,35.11,30.26,30.13,12.39,10.49,10.92,9.97,11.1,12.04,194.17,216.49,122.37,144.83
PAPUA BARAT,40.21,42.12,17.24,17.32,10.62,10.57,10.88,10.99,10.35,10.36,112.59,113.28,109.5,113.23
PAPUA,43.09,43.95,23.67,24.36,11.77,12.76,10.32,11.01,10.81,10.91,122.05,121.37,124.66,123.83
INDONESIA,51.35,53.41,49.54,51.78,15.51,15.68,12.79,13.33,11.76,11.83,233.55,229.51,152,160.53
